DUID,Pickle_Site_Name,Excel_Site_Name,Pickle_Region,Excel_Region,Pickle_Owner,Excel_Owner,Pickle_Capacity_MW,Excel_Capacity_MW,Pickle_Storage_MWh,Excel_Storage_MWh,Pickle_Fuel,Excel_Fuel,Differences
DARLSF1,Darlington Point Solar Farm,Darlington Point Solar Farm,NSW1,NSW1,Darlington Point Solar Farm Pty Ltd,Darlington Point Solar Farm Pty Ltd,274.97,2.55,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
DARTM1,Dartmouth,Dartmouth,VIC1,VIC1,AGL Hydro Partnership,AGL Hydro Partnership,185.0,185.0,0.0,,Water,Hydro - Water,Fuel
DAYDSF1,Daydream Solar Farm,Daydream Solar Farm,QLD1,QLD1,The Daydream Solar Farm Trust,The Daydream Solar Farm Trust,167.75,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
DDPS1,Darling Downs,Darling Downs,QLD1,QLD1,Origin Energy Power Limited,Origin Energy Power Limited,644.5,280.0,0.0,,CCGT,Fossil - Coal Seam Methane,"Capacity(MW), Fuel"
DDSF1,Darling Downs Solar Farm,Darling Downs Solar Farm,QLD1,QLD1,Darling Downs Solar Farm Pty Ltd,Darling Downs Solar Farm Pty Ltd,121.0,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
DEVILS_G,Devils Gate,Devils Gate,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,60.0,60.0,0.0,,Water,Hydro - Water,Fuel
DIAPURWF1,Diapur Wind Farm,Diapur Wind Farm,VIC1,VIC1,Diapur Wind Farm Pty Ltd,Diapur Wind Farm Pty Ltd,8.0,4.0,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
DPNTB1,Darlington Point Energy Storage System,Darlington Point Energy Storage System,NSW1,NSW1,DPESS Pty Ltd,DPESS Pty Ltd,25.0,25.0,50.0,50.0,Battery Storage,Other - Other,Fuel
DRYCGT1,Dry Creek GT,Dry Creek GT,SA1,SA1,Synergen Power Pty Ltd,Synergen Power Pty Ltd,52.0,52.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
DRYCGT2,Dry Creek GT,Dry Creek GT,SA1,SA1,Synergen Power Pty Ltd,Synergen Power Pty Ltd,52.0,52.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
DRYCGT3,Dry Creek GT,Dry Creek GT,SA1,SA1,Synergen Power Pty Ltd,Synergen Power Pty Ltd,52.0,52.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
DULAWF1,Dulacca Wind Farm,Dulacca Wind Farm,QLD1,QLD1,Dulacca Energy Project Co Pty Ltd,Dulacca Energy Project Co Pty Ltd,172.99,4.02,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
DUNDWF1,Dundonnell Wind Farm,Dundonnell Wind Farm,VIC1,VIC1,Tilt Renewables,Tilt Renewables,168.0,4.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
DUNDWF2,Dundonnell Wind Farm,Dundonnell Wind Farm,VIC1,VIC1,Tilt Renewables,Tilt Renewables,46.2,4.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
DUNDWF3,Dundonnell Wind Farm,Dundonnell Wind Farm,VIC1,VIC1,Tilt Renewables,Tilt Renewables,121.8,4.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
EASTCRK,Eastern Creek,Eastern Creek,NSW1,NSW1,EDL LFG NSW Pty Ltd,EDL LFG NSW Pty Ltd,5.06,1.26,0.0,,Biomass,Renewable Biomass or Waste - Landfill Gas,"Capacity(MW), Fuel"
EDENVSF1,Edenvale Solar Park,Edenvale Solar Park,QLD1,QLD1,Edenvale Solar Park Pty Ltd,Edenvale Solar Park Pty Ltd,180.0,180.0,0.0,,Solar,Solar - Solar,Fuel
EILDON1,Eildon,Eildon,VIC1,VIC1,AGL Hydro Partnership,AGL Hydro Partnership,67.5,7.5,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
EILDON2,Eildon,Eildon,VIC1,VIC1,AGL Hydro Partnership,AGL Hydro Partnership,67.5,7.5,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
EILDON3,Eildon Pondage Power Station (EPPS),Eildon Pondage Power Station (EPPS),VIC1,VIC1,Pacific Hydro Investments Pty Ltd,Pacific Hydro Investments Pty Ltd,4.5,4.5,0.0,,Water,Hydro - Water,Fuel
ELAINWF1,Elaine Wind Farm,Elaine Wind Farm,VIC1,VIC1,Northleaf /InfraRed/Macquarie Capital,Northleaf /InfraRed/Macquarie Capital,83.6,3.8,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
EMERASF1,Emerald Solar Park,Emerald Solar Park,QLD1,QLD1,Lighthouse Infrastructure Management Limited,Lighthouse Infrastructure Management Limited,72.0,2.25,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
ER01,Eraring,Eraring,NSW1,NSW1,Origin Energy Eraring Pty Ltd,Origin Energy Eraring Pty Ltd,720.0,720.0,0.0,,Coal,Fossil - Black Coal,Fuel
ER02,Eraring,Eraring,NSW1,NSW1,Origin Energy Eraring Pty Ltd,Origin Energy Eraring Pty Ltd,720.0,720.0,0.0,,Coal,Fossil - Black Coal,Fuel
ER03,Eraring,Eraring,NSW1,NSW1,Origin Energy Eraring Pty Ltd,Origin Energy Eraring Pty Ltd,720.0,720.0,0.0,,Coal,Fossil - Black Coal,Fuel
ER04,Eraring,Eraring,NSW1,NSW1,Origin Energy Eraring Pty Ltd,Origin Energy Eraring Pty Ltd,720.0,720.0,0.0,,Coal,Fossil - Black Coal,Fuel
ERGT01,Eraring GT,Eraring GT,NSW1,NSW1,Origin Energy Eraring Pty Ltd,Origin Energy Eraring Pty Ltd,41.5,41.5,0.0,,OCGT,Fossil - Diesel,Fuel
FINLYSF1,Finley Solar Farm,Finley Solar Farm,NSW1,NSW1,Finley Solar Farm Pty Ltd as The trustee for Finley Solar Trust,Finley Solar Farm Pty Ltd as The trustee for Finley Solar Trust,162.36,1.64,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
FISHER,Fisher,Fisher,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,43.2,43.2,0.0,,Water,Hydro - Water,Fuel
FLYCRKWF,Flyers Creek Wind Farm,Flyers Creek Wind Farm,NSW1,NSW1,Flyers Creek Wind Farm Pty Ltd,Flyers Creek Wind Farm Pty Ltd,145.54,3.83,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
FNWF1,Ferguson Wind Farm,Ferguson Wind Farm,VIC1,VIC1,Ferguson Wind Farm Pty Ltd,Ferguson Wind Farm Pty Ltd,12.0,4.0,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
FTVBESS,Fosterville SF and BESS,Fosterville SF and BESS,VIC1,VIC1,FRV Services Australia,FRV Services Australia,119.0,3.5,240.0,240.0,Battery Storage,Other - Other,"Capacity(MW), Fuel"
FTVPV,Fosterville SF and BESS,Fosterville SF and BESS,VIC1,VIC1,FRV Services Australia,FRV Services Australia,80.5,3.5,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
GANGARR1,Gangarri Solar Farm,Gangarri Solar Farm,QLD1,QLD1,Shell New Energies Australia Pty Ltd,Shell New Energies Australia Pty Ltd,162.0,3.0,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
GANNB1,Gannawarra Energy Storage System,Gannawarra Energy Storage System,VIC1,VIC1,GESS ProjectCo,GESS ProjectCo,25.33,25.33,50.0,50.0,Battery Storage,Other - Other,Fuel
GANNSF1,Gannawarra Solar Farm,Gannawarra Solar Farm,VIC1,VIC1,Gannawarra Solar Farm Pty Ltd,Gannawarra Solar Farm Pty Ltd,55.0,2.5,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
GB01,Broken Hill GT,Broken Hill GT,NSW1,NSW1,Transgrid,Transgrid,50.0,50.0,0.0,,OCGT,Fossil - Diesel,Fuel
GBBATT1,Gawara Baya Wind Farm,Gawara Baya Wind And BESS,QLD1,QLD1,UPPER BURDEKIN WIND FARM PTY LTD,UPPER BURDEKIN WIND FARM PTY LTD,104.0,26.0,208.0,208.0,Battery Storage,Other - Other,"Site Name, Capacity(MW), Fuel"
GBWF1,Gawara Baya Wind Farm,Gawara Baya Wind And BESS,QLD1,QLD1,UPPER BURDEKIN WIND FARM PTY LTD,UPPER BURDEKIN WIND FARM PTY LTD,408.0,6.0,0.0,,Wind,Wind - Wind,"Site Name, Capacity(MW), Fuel"
GERMCRK,German Creek,German Creek,QLD1,QLD1,EDL CSM Qld Pty Ltd,EDL CSM Qld Pty Ltd,45.01,3.3,0.0,,Gas other,Fossil - Waste Coal Mine Gas,"Capacity(MW), Fuel"
GIRGSF,Girgarre Solar Farm,Girgarre Solar Farm,VIC1,VIC1,Giragarre Solar Farm Pty Ltd as trustee for Giragarre Solar Farm Trust,Giragarre Solar Farm Pty Ltd as trustee for Giragarre Solar Farm Trust,93.48,1.64,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
GLENMAG1,Glenmaggie Hydro,Glenmaggie Hydro,VIC1,VIC1,Pacific Hydro Investments Pty Ltd,Pacific Hydro Investments Pty Ltd,1.9,1.9,0.0,,Water,Hydro - Water,Fuel
GLENSF1,Glenrowan Solar Farm,Glenrowan Solar Farm,VIC1,VIC1,Glenrowan Solar Farm Pty Ltd as trustee for Glenrowan Solar Farm Trust,Glenrowan Solar Farm Pty Ltd as trustee for Glenrowan Solar Farm Trust,126.0,4.2,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
GLRWNSF1,Glenrowan West Solar Farm,Glenrowan West Solar Farm,VIC1,VIC1,Glenrowan Sun Farm Pty Ltd,Glenrowan Sun Farm Pty Ltd,132.0,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
GNNDHSF1,Gunnedah Solar Farm,Gunnedah Solar Farm,NSW1,NSW1,Gunnedah SF Pty Ltd atf Gunnedah Asset Trust,Gunnedah SF Pty Ltd atf Gunnedah Asset Trust,110.0,110.0,0.0,,Solar,Solar - Solar,Fuel
GOONSF1,Goonumbla Solar Farm,Goonumbla Solar Farm,NSW1,NSW1,Goonumbla Asset Co Pty Ltd as trustee for the Goonumbla Asset Trust,Goonumbla Asset Co Pty Ltd as trustee for the Goonumbla Asset Trust,69.75,2.25,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
GORDON,Gordon,Gordon,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,432.0,144.0,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
GPWFEST1,Golden Plains Wind Farm East,Golden Plains Wind Farm East,VIC1,VIC1,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust,248.0,6.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
GPWFEST2,Golden Plains Wind Farm East,Golden Plains Wind Farm East,VIC1,VIC1,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust,260.4,6.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
GPWFEST3,Golden Plains Wind Farm East,Golden Plains Wind Farm East,VIC1,VIC1,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust,248.0,6.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
GRANGEAV,Grange Avenue,Grange Avenue,NSW1,NSW1,EDL LFG NSW Pty Ltd,EDL LFG NSW Pty Ltd,1.26,1.26,0.0,,Biomass,Renewable Biomass or Waste - Landfill Gas,Fuel
GRANWF1,Granville Harbour Wind Farm,Granville Harbour Wind Farm,TAS1,TAS1,Granville Harbour Operations Pty Ltd as trustee for Granville Harbour Operations Trust,Granville Harbour Operations Pty Ltd as trustee for Granville Harbour Operations Trust,111.6,3.6,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
GREENB1,Greenbank BESS,Greenbank BESS,QLD1,QLD1,CSE BESS Pty Ltd,CSE BESS Pty Ltd,200.0,200.0,400.0,400.0,Battery Storage,Other - Other,Fuel
GRIFSF1,Griffith Solar Farm,Griffith Solar Farm,NSW1,NSW1,Griffith Solar Farm Pty Ltd,Griffith Solar Farm Pty Ltd,27.19,2.27,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
GSTONE1,Gladstone,Gladstone,QLD1,QLD1,Gladstone Power Station Participants,Gladstone Power Station Participants,280.0,280.0,0.0,,Coal,Fossil - Black Coal,Fuel
GSTONE2,Gladstone,Gladstone,QLD1,QLD1,Gladstone Power Station Participants,Gladstone Power Station Participants,280.0,280.0,0.0,,Coal,Fossil - Black Coal,Fuel
GSTONE3,Gladstone,Gladstone,QLD1,QLD1,Gladstone Power Station Participants,Gladstone Power Station Participants,280.0,280.0,0.0,,Coal,Fossil - Black Coal,Fuel
GSTONE4,Gladstone,Gladstone,QLD1,QLD1,Gladstone Power Station Participants,Gladstone Power Station Participants,280.0,280.0,0.0,,Coal,Fossil - Black Coal,Fuel
GSTONE5,Gladstone,Gladstone,QLD1,QLD1,Gladstone Power Station Participants,Gladstone Power Station Participants,280.0,280.0,0.0,,Coal,Fossil - Black Coal,Fuel
GSTONE6,Gladstone,Gladstone,QLD1,QLD1,Gladstone Power Station Participants,Gladstone Power Station Participants,280.0,280.0,0.0,,Coal,Fossil - Black Coal,Fuel
GSWF1A,Goyder South Wind Farm 1A,Goyder South Wind Farm 1A,SA1,SA1,Goyder Wind Farm 1A Pty Ltd as trustee for Goyder Wind Farm 1A Trust,Goyder Wind Farm 1A Pty Ltd as trustee for Goyder Wind Farm 1A Trust,209.0,5.5,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
GSWF1B1,Goyder South Wind Farm 1B,Goyder South Wind Farm 1B,SA1,SA1,Goyder Wind Farm 1B Pty Ltd as trustee for Goyder Wind Farm 1B Trust,Goyder Wind Farm 1B Pty Ltd as trustee for Goyder Wind Farm 1B Trust,203.5,5.5,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
GULLRSF1,Gullen Range Solar Farm,Gullen Range Solar Farm,NSW1,NSW1,New Gullen Range Wind Farm Pty Ltd,New Gullen Range Wind Farm Pty Ltd,10.0,2.5,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
GULLRWF1,Gullen Range Wind Farm,Gullen Range Wind Farm,NSW1,NSW1,New Gullen Range Wind Farm Pty Ltd,New Gullen Range Wind Farm Pty Ltd,165.5,1.5,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
GULLRWF2,Gullen Range Wind Farm 2,Gullen Range Wind Farm 2,NSW1,NSW1,BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,110.67,3.57,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
GUNNING1,Gunning Wind Farm,Gunning Wind Farm,NSW1,NSW1,Gunning Wind Energy Developments,Gunning Wind Energy Developments,46.5,1.5,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
GUTHEGA,Guthega,Guthega,NSW1,NSW1,Snowy Hydro Ltd,Snowy Hydro Ltd,60.0,30.0,0.0,,Water,Hydro - Water,"Capacity(MW), Fuel"
HALAMRD1,Hallam Road,Hallam Road,VIC1,VIC1,LMS Energy Pty Ltd,LMS Energy Pty Ltd,8.98,1.12,0.0,,Biomass,Renewable Biomass or Waste - Landfill Gas,"Capacity(MW), Fuel"
HALLWF1,Hallett Stage 1 Brown Hill,Hallett Stage 1 Brown Hill,SA1,SA1,Palisade Investment Partner Limited,Palisade Investment Partner Limited,94.5,2.1,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
HALLWF2,Hallett Stage 2 Hallett Hill,Hallett Stage 2 Hallett Hill,SA1,SA1,Infrastructure Capital Group Limited,Infrastructure Capital Group Limited,71.4,2.1,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
HAMISF1,Hamilton Solar Farm,Hamilton Solar Farm,QLD1,QLD1,Hamilton Solar Farm Pty Ltd,Hamilton Solar Farm Pty Ltd,57.5,2.5,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
HAUGHT11,Haughton Solar Farm Stage 1,Haughton Solar Farm Stage 1,QLD1,QLD1,Pacific Hydro Haughton Solar Farm Pty Ltd,Pacific Hydro Haughton Solar Farm Pty Ltd,132.6,1.64,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
HAYMSF1,Hayman Solar Farm,Hayman Solar Farm,QLD1,QLD1,The Hayman Solar Farm Trust,The Hayman Solar Farm Trust,57.75,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
HBESS1,Hazelwood Battery Energy Storage System (HBESS),Hazelwood Battery Energy Storage System (HBESS),VIC1,VIC1,Hazelwood BESS Project Co Pty Ltd as trustee for the HBESS Asset Trust,Hazelwood BESS Project Co Pty Ltd as trustee for the HBESS Asset Trust,200.07,200.07,162.0,162.0,Battery Storage,Other - Other,Fuel
HD1WF1,Hawkesdale Wind Farm,Hawkesdale Wind Farm,VIC1,VIC1,Hawkesdale Asset Pty Ltd as trustee for Hawkesdale Asset Trust,Hawkesdale Asset Pty Ltd as trustee for Hawkesdale Asset Trust,96.6,4.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
HDWF1,Hornsdale Wind Farm Stage 1,Hornsdale Wind Farm Stage 1,SA1,SA1,HWF 1 Pty Ltd,HWF 1 Pty Ltd,102.4,3.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
HDWF2,Hornsdale Wind Farm Stage 2,Hornsdale Wind Farm Stage 2,SA1,SA1,HWF 2 Pty Ltd,HWF 2 Pty Ltd,102.4,3.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
HDWF3,Hornsdale Wind Farm Stage 3,Hornsdale Wind Farm Stage 3,SA1,SA1,HWF 3 Pty Ltd,HWF 3 Pty Ltd,112.0,3.2,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
HEPWIND1,Leonards Hill,Leonards Hill,VIC1,VIC1,Hepburn Community Wind Park Co-operative Limited,Hepburn Community Wind Park Co-operative Limited,4.1,2.05,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
HEZ1,Hunter EconomicZone,Hunter EconomicZone,NSW1,NSW1,Snowy Hydro Ltd,Snowy Hydro Ltd,20.8,20.8,0.0,,Other,Fossil - Diesel,Fuel
HILLSTN1,Hillston Sun Farm,Hillston Sun Farm,NSW1,NSW1,Hillston Sun Farm Operations Pty Ltd ATF Hillston,Hillston Sun Farm Operations Pty Ltd ATF Hillston,110.0,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
HLMSEW01,HYMIVC06 Belgrave-Hallam Rd Micro Hydro,HYMIVC06 Belgrave-Hallam Rd Micro Hydro,VIC1,VIC1,South East Water Corporation,South East Water Corporation,0.25,0.25,0.0,0.0,Water,Hydro - Water,Fuel
HPR1,Hornsdale Power Reserve Unit 1,Hornsdale Power Reserve Unit 1,SA1,SA1,Hornsdale Power Reserve Pty Ltd,Hornsdale Power Reserve Pty Ltd,150.0,50.0,117.0,61.3,Battery Storage,Other - Other,"Capacity(MW), Storage(MWh), Fuel"
HUGSF1,Hughenden Sun Farm,Hughenden Sun Farm,QLD1,QLD1,Hughenden Solar Pty Ltd as Trustee for Hughenden Solar Trust,Hughenden Solar Pty Ltd as Trustee for Hughenden Solar Trust,20.97,1.17,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
HUMENSW,Hume Dam NSW,Hume Dam NSW,NSW1,NSW1,GSPOWER,GSPOWER,29.0,29.0,0.0,,Water,Hydro - Water,Fuel
HUMEV,Hume Dam VIC,Hume Dam VIC,VIC1,VIC1,GSP Energy Pty Ltd,GSP Energy Pty Ltd,29.0,29.0,0.0,,Water,Hydro - Water,Fuel
HUNTER1,Hunter Power Station,Hunter Power Station,NSW1,NSW1,Snowy Hydro Limited,Snowy Hydro Limited,375.0,375.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
HUNTER2,Hunter Power Station,Hunter Power Station,NSW1,NSW1,Snowy Hydro Limited,Snowy Hydro Limited,375.0,375.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
HVWWBA1,Happy Valley Reservoir,Happy Valley Reservoir,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,5.52,5.52,8.82,8.82,Battery Storage,Other - Other,Fuel
HVWWPV1,Happy Valley Reservoir,Happy Valley Reservoir,SA1,SA1,South Australian Water Corporation,South Australian Water Corporation,11.0,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
JBUTTERS,John Butters,John Butters,TAS1,TAS1,Hydro-Electric Corporation,Hydro-Electric Corporation,144.0,144.0,0.0,,Water,Hydro - Water,Fuel
JEMALNG1,Jemalong Solar,Jemalong Solar,NSW1,NSW1,Genex Power,Genex Power,55.0,2.75,0.0,0.0,Solar,Solar - Solar,"Capacity(MW), Fuel"
JGULLY,Jacks Gully,Jacks Gully,NSW1,NSW1,EDL LFG NSW Pty Ltd,EDL LFG NSW Pty Ltd,2.3,1.15,0.0,,Biomass,Renewable Biomass or Waste - Landfill Gas,"Capacity(MW), Fuel"
JLA01,Jeeralang A,Jeeralang A,VIC1,VIC1,EnergyAustralia Ecogen Py Ltd,EnergyAustralia Ecogen Py Ltd,53.0,53.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
JLA02,Jeeralang A,Jeeralang A,VIC1,VIC1,EnergyAustralia Ecogen Py Ltd,EnergyAustralia Ecogen Py Ltd,53.0,53.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
JLA03,Jeeralang A,Jeeralang A,VIC1,VIC1,EnergyAustralia Ecogen Py Ltd,EnergyAustralia Ecogen Py Ltd,53.0,53.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
JLA04,Jeeralang A,Jeeralang A,VIC1,VIC1,EnergyAustralia Ecogen Py Ltd,EnergyAustralia Ecogen Py Ltd,53.0,53.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
JLB01,Jeeralang B,Jeeralang B,VIC1,VIC1,EnergyAustralia Ecogen Pty Ltd,EnergyAustralia Ecogen Pty Ltd,76.0,76.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
JLB02,Jeeralang B,Jeeralang B,VIC1,VIC1,EnergyAustralia Ecogen Pty Ltd,EnergyAustralia Ecogen Pty Ltd,76.0,76.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
JLB03,Jeeralang B,Jeeralang B,VIC1,VIC1,EnergyAustralia Ecogen Pty Ltd,EnergyAustralia Ecogen Pty Ltd,76.0,76.0,0.0,,OCGT,Fossil - Natural Gas Pipeline,Fuel
JNDABNE1,Jindabyne,Jindabyne,NSW1,NSW1,Snowy Hydro Ltd,Snowy Hydro Ltd,1.1,1.1,0.0,,Water,Hydro - Water,Fuel
JOUNAMA1,Jounama,Jounama,NSW1,NSW1,Snowy Hydro Ltd,Snowy Hydro Ltd,14.4,14.4,0.0,,Water,Hydro - Water,Fuel
JRBATT1,Junction Rivers,Junction Rivers Wind And BESS,NSW1,NSW1,Junction Rivers Pty Ltd,Junction Rivers Pty Ltd,200.0,200.0,800.0,800.0,Battery Storage,Other - Other,"Site Name, Fuel"
JRWF1,Junction Rivers,Junction Rivers Wind And BESS,NSW1,NSW1,Junction Rivers Pty Ltd,Junction Rivers Pty Ltd,595.2,6.2,0.0,,Wind,Wind - Wind,"Site Name, Capacity(MW), Fuel"
JUNEESF1,Junee Solar Farm,Junee Solar Farm,NSW1,NSW1,Junee Operationsco Pty Ltd as trustee for Junee Operations Trust,Junee Operationsco Pty Ltd as trustee for Junee Operations Trust,36.01,1.64,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
KABANWF1,Kaban Wind Farm,Kaban Wind Farm,QLD1,QLD1,Kaban Wind Farm Trust,Kaban Wind Farm Trust,156.8,5.6,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
KAREEYA1,Kareeya,Kareeya,QLD1,QLD1,CleanCo Queensland Limited,CleanCo Queensland Limited,21.6,21.6,0.0,,Water,Hydro - Water,Fuel
KAREEYA2,Kareeya,Kareeya,QLD1,QLD1,CleanCo Queensland Limited,CleanCo Queensland Limited,21.6,21.6,0.0,,Water,Hydro - Water,Fuel
KAREEYA3,Kareeya,Kareeya,QLD1,QLD1,CleanCo Queensland Limited,CleanCo Queensland Limited,21.6,21.6,0.0,,Water,Hydro - Water,Fuel
KAREEYA4,Kareeya,Kareeya,QLD1,QLD1,CleanCo Queensland Limited,CleanCo Queensland Limited,21.6,21.6,0.0,,Water,Hydro - Water,Fuel
KAREEYA5,Kareeya 5,Kareeya 5,QLD1,QLD1,CleanCo Queensland Limited,CleanCo Queensland Limited,7.0,7.0,0.0,,Water,Hydro - Water,Fuel
KARSF1,Karadoc Solar Farm,Karadoc Solar Farm,VIC1,VIC1,Iraak Sun Farm Pty Ltd,Iraak Sun Farm Pty Ltd,104.5,2.75,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
KEEPIT,Keepit,Keepit,NSW1,NSW1,GSP Energy Pty Ltd,GSP Energy Pty Ltd,7.2,7.2,0.0,0.0,Water,Hydro - Water,Fuel
KEPBG1,Kennedy Energy Park - Phase 1 - Storage,Kennedy Energy Park - Phase 1 - Storage,QLD1,QLD1,Windlab/Eurus,Windlab/Eurus,2.0,0.5,4.0,4.0,Battery Storage,Other - Other,"Capacity(MW), Fuel"
KEPSF1,Kennedy Energy Park - Phase 1 - Solar,Kennedy Energy Park - Phase 1 - Solar,QLD1,QLD1,Windlab / Eurus,Windlab / Eurus,15.0,2.5,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
KEPWF1,Kennedy Energy Park - Phase 1 - Wind,Kennedy Energy Park - Phase 1 - Wind,QLD1,QLD1,Windlab / Eurus,Windlab / Eurus,43.2,3.6,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
KESSB1,Koorangie Energy Storage System,Koorangie Energy Storage System,VIC1,VIC1,Edify Energy,Shell Energy,185.0,185.0,370.0,370.0,Battery Storage,Other - Other,"Owner, Fuel"
KIAMBE,Kiamal BESS,Kiamal BESS,VIC1,VIC1,TotalEnergies Renewables Australia,TotalEnergies Renewables Australia,238.59,3.73,880.0,880.0,Battery Storage,Other - Other,"Capacity(MW), Fuel"
KIAMSF1,Kiamal Solar Farm - Stage 1,Kiamal Solar Farm - Stage 1,VIC1,VIC1,KSF Project Nominees Pty Ltd ATF KSF Project Trust,KSF Project Nominees Pty Ltd ATF KSF Project Trust,199.95,1.33,0.0,0.0,Solar,Solar - Solar,"Capacity(MW), Fuel"
KIATAWF1,Kiata Wind Farm,Kiata Wind Farm,VIC1,VIC1,Kiata ProjectCo Pty Ltd atf Kiata Project Trust,Kiata ProjectCo Pty Ltd atf Kiata Project Trust,31.05,3.45,0.0,,Wind,Wind - Wind,"Capacity(MW), Fuel"
KINGASF1,Kingaroy Solar Farm,Kingaroy Solar Farm,QLD1,QLD1,Kingaroy PropertyCo Pty Ltd as trustee for Kingaroy Property Trust,Kingaroy PropertyCo Pty Ltd as trustee for Kingaroy Property Trust,40.0,4.44,0.0,,Solar,Solar - Solar,"Capacity(MW), Fuel"
